h,sentiment_score,sntmnt,body,sentiment_score2,sntmnt2
"
If the EU cannot respect our sovereignty, we should tear up the Brexit deal
",0,Neutral,"The UK can †protect its economy outside the EU system of law by applying the WTO's self-help remedies of tariffs and duties, along with international regulatory rules. †WTO charges would put Eurozone imports back at their correct pricing levels. Most Eurozone producers †would then absorb the expense to protect their market share. New trade deals with other countries will enable the UK to buy the products from elsewhere at competitive world prices. †And international regulatory standards provide protection against systemic †risk arising from the Eurozone. But the UK needs to avoid the trap of EU law, since its acceptance would prevent the UK from protecting itself. †The Withdrawal Agreement commits both parties to achieving a sovereignty-compliant outcome by year end. By definition any resulting arrangements cannot †include EU law, unless Parliament were to hand back sovereignty. †This means replacing the Northern Ireland Protocol, which imposes EU law requirements. If left in place, the Protocol would deny UK businesses with NI operations the shield of WTO protections, †leaving them open to unfairly priced Irish (and other Eurozone) competition. Fortunately, †there are sovereignty-compliant solutions to all of the problems the EU negotiators throw our way. An invisible North-South Irish border can be addressed by so-called ""alternative arrangements""ù, or by guarantees under a mechanism known as ""mutual enforcement""ù. †A level playing field can easily be addressed through WTO-based disciplines. Now the EU may not wish for that. Providing for a sovereign but invisible North-South border would effectively mean the EU has to agree to a favourable trade deal with the whole of the UK. †It is only then that the EU gets out cleanly from its WTO obligations to offer †the same invisible border treatment to the other 44 countries with which it has a land border. The EU may also recoil from a WTO-based approach to the level playing field since this would undo the distortions created by the Eurozone. †However, as a sovereign, †the UK needs to protect its economy for the benefit of its citizens. In addition, †the UK needs its sovereignty to address the financial risk pumped by the Eurozone into the UK and global financial markets. At present, the UK mitigates this risk on behalf of the EU and the rest of the world by imposing top-up capital requirements on businesses †operating here. †The UK can carry on performing this service after year end, if the EU agrees in an FTA to recognise UK financial law and regulation, whatever the shape the UK decides this should have. The EU should feel safe in recognising the UK's regime †since the UK properly applies international standards. If the EU fails to agree a satisfactory sovereign relationship, the UK should tear up the Withdrawal Agreement, including the Protocol. †The EU would be in breach of its commitments, and the UK will then be forced to apply its sovereignty on the basis of unmodified †WTO protections after year end. †The UK will also need (along with the US, the other host of the global financial market) to apply international standards to impose costly capital, collateral and liquidity requirements on exposures to EU financial institutions, †to address Eurozone risk. This would include restrictions on intra-group exposures to Eurozone-based subsidiaries of UK/US-headquartered institutions. Of course, †applying the global rules in this way would cause crippling expense for EU financial firms, and material damage to the EU's growth aspirations. †That is not the outcome the UK seeks. To avoid it, the UK's ask is minimal: a sovereign relationship which continues †trade on a basis no worse than that used by the EU for other countries to which it is less close. †If the EU rejects this it would be an unfriendly act - and one of self-harm. Barnabas Reynolds is a partner at Shearman & Sterling LLP and co-author of ""Using Negotiating Leverage to Achieve a Sovereignty-Compliant Exit from the Transition Period""ù, just published by the Centre for Brexit Policy.  ",0,Neutral
"
With 90 days until Brexit, supply chain kinks could cost manufacturers dearly
",0.625,Positive,"Companies are dealing with new responsibilities and navigating new ways of working, while also doing their best to manage continuity of supply against an extraordinary increase in demand. The resource required for things like training first time PPE users and adhering to the new workplace safety protocol has shot through the roof. Of course, these considerations are all in addition to the existing health and safety challenges such as accident prevention, ensuring user compliance, balancing cost and quality, responding to complex legislation and managing inventory. Implementing the new measures is a major undertaking and requires rigorous planning and preparation to address new and diverse challenges. These include how colleagues communicate with each other against a noisy backdrop while remaining socially distanced, thermal scanning at site access points to detect early signs of infection and careful planning of shift patterns to allow for deep cleaning.†† Ensuring facilities have appropriate measures and practices is paramount. Outbreaks at several UK manufacturing and processing sites have highlighted the capacity for the virus to spread on the factory floor, as well as the potential financial and reputational consequences.† A global pandemic isn't the only factor that might have reduced manufacturers' Brexit focus; there is also the inevitable fatigue brought about by the passing of multiple Brexit deadlines. On three occasions companies have built inventories, created warehouse space and developed comprehensive contingency plans, only to be faced with a false start.† The time and money invested into these processes are considerable. Repeated deadline extensions may be limiting the energy that companies will commit to embracing the Government's recent ""Let's get going""ù campaign to once again encourage preparations. Yet, without sufficient preparation there is a risk that manufacturers will have managed the post-lockdown restart of their plants successfully, only to find themselves unable to cope with the potential challenges posed by Brexit. ",0.375,Positive
"
Chopper's Politics: the Left do not want black people to succeed because they are their 'chosen victims', says Shaun Bailey
",-0.5,Negative,"Leftwing politicians do not want black people to succeed because they are their ""chosen victims"", the Conservatives mayoral candidate Shaun Bailey says. Mr Bailey, 49, is aiming to become the first Tory London Mayor since Boris Johnson stood down in 2016, in next May's delayed London mayoral elections. Mr Bailey†was raised by a single mother in the capital, before studying at university while working part time as a security guard. He graduated at 27 before becoming an adviser to David Cameron when he was Prime Minister. Mr Bailey - who was†once described as a ""token ghetto boy"" by a former Labour MP - said the Left was not comfortable with black people who better themselves. He told The Telegraph's†Chopper's Politics podcast, which you can listen to on the audio player above:†""It is basically saying if you do anything outside the Labour left wing view of the world you will get attacked. ""My journey has been useful, an inspiration to my children, we talk about it a lot. The community I come from are all proud of me, whether they are conservative or not.† ""There is nothing token about the life I have led, the challenges I have faced, the victories and losses I have had. And I would say to anybody if you feel you can for far, ambition is a good thing."" Mr Bailey, whose family came to the UK from Jamaica, added: ""The Left don't want you to achieve†because you ask different questions.†The black community has been the chosen victims for the Left so they can always say they're going to†help us and do things.† ""I remember when Jeremy Corbyn said only he can unlock the potential for the black community. My mother said 'what the hell does he think I've been doing for the last 50 years'; she was very offended by that.† ""So, the point I would make is, if, if you continually have a low view of our community you are victimising us, you've got to believe in talent in the community. ""That's why you'll hear me talk about having some kind of ambition. That's almost self belief, isn't it? ""And I think it's important that people on the Left remove the idea that unless we believe what they believe that's the only way we can prosper.† ""I think it's very damaging to the black community and increasingly the black community are pushing back on that†and more and more black people ... are†challenging the very strong Leftwing views held in our community."" Mr Bailey who grew up on the streets of north London also said he has been stopped by the police ""tens of times"" and admitted that this was ""probably"" more than his white friends. He said: ""Is the Met perfect? Of course not because it is made up of people. Are they doing considerably better? Absolutely.† ""What we should be doing is supporting them to do better, not always beating them over the head because nobody - particularly black communities benefit from a police force that is afraid to do its job."" Mr Bailey is backing a new policing tactic called Scan and Search which uses scanners to search people for knives to avoid the need for invasive searches. Mr Bailey added: ""If a tactic is racist or not, falls to the people who deliver it. I don't believe the police are racist, not all police officers are racist, that is a ridiculous assertion. Mr Bailey said he was receiving regular support from Mr Johnson who was encouraging people to support his campaign and last spoke to the Prime Minister four days ago. Mr Bailey brushed off claims in the summer that donors were losing faith in his campaign, saying: ""The first thing we did was run to the PM and say 'where is this noise coming from'. ""His answer to me was twofold: he said 'firstly it is not coming from me Shaun, I have your back and what do you need me to do'. ""And secondly he said 'forget them'... he said 'the buggers tried this on me in 2007, and they are trying it on you now. All you need to know is that I am on your side'."" Listen to The Telegraph's weekly political podcast, Chopper's Politics, presented by Chief Political Correspondent, Christopher Hope, on the audio player at the top of this article, and subscribe for free on†Apple Podcasts,†Spotify†or your preferred podcast app. ",-0.5,Negative
"
Nicola Sturgeon and Keir Starmer call for Cobra meeting with Boris Johnson as circuit break lockdown looms
",0,Neutral,"Nicola Sturgeon has asked Boris Johnson to convene a Cobra this weekend, for the first time after several months, as she warned of ""hard but necessary decisions"" to be made in the coming days. Downing Street has admitted a short-term ""circuit break"" lockdown, thought to be earmarked for October half term, is under consideration, in a bid to get cases back under control.††† ""This weekend will be critical in the assessment"" of what to do next, Ms Sturgeon said during her regular press conference. ""Sage met yesterday, I have chaired meeting of senior officials and advisers and discussions across the four nations will, I hope, take place in the coming days. ""Today I want to give the nation advance notice that the coming days are likely to see some hard but necessary decisions.††If we want to avoid another full scale lockdown, doing nothing almost certainly isn't an option,"" Ms Sturgeon said.† Sir Keir Starmer, the Labour leader, later echoed her plea, saying: ""There is mounting concern about whether we have got the virus sufficiently under control. This is the time for swift, decisive national action. We cannot afford to be too slow. ""That's why I'm asking the Prime Minister to convene a Cobra meeting and to update the country on the measures the Government is taking to keep the virus under control, including to fix testing."" This morning Matt Hancock conceded the Government was considering new restrictions for†hospitality,†while protecting†schools and workplaces, telling the BBC the ""vast majority""of transmission takes place in ""social settings"".† ""We really do need to come together to tackle this virus once again,"" Mr Hancock also told Sky News.†""The virus is clearly accelerating across the country, we have got to take the necessary action to keep people safe."" See what else happened today in Westminster below ",0,Neutral
"
Singapore trade deal hampered by row over bank licences†
",-0.375,Negative,"Plans for a crucial post-Brexit deal with the free-trade haven Singapore are stalling amid a dispute over banking †licences. The Department for International Trade is seeking to agree arrangements with Singapore to prevent disruption for businesses when the transition period ends on Dec 31 and the EU-Singapore deal will no longer apply. Without a deal, the UK would not have preferential trade arrangements for exports to Singapore - worth £10.5bn last year - meaning it would export on ""most favoured nation""ù terms under World Trade Organisation rules. It is hoped that a bilateral deal will act as a bridge to the UK's accession to the Comprehensive and Progressive Agreement for Trans-Pacific Partnership, other members of which include Canada and Japan. ",-0.875,Negative
"
Theresa May's 'pie in the sky' satellite plan scrapped†
",-0.25,Negative,"A plan to replace the EU's satellite navigation system with a post-Brexit UK equivalent is being scrapped by the Government amid reports Theresa May's strategy for the technology was ""unrealistic""ù. Mrs May planned for the UK to have its own satellite network for GPS, replicating a US system and the Galileo network built by the EU. The post-Brexit UK service, GNSS, has been mothballed after policymakers decided it was expensive and unnecessary. An industry source told Politico: ""It was always a bit pie in the sky that we were going to build a global system.† ""There are a lot of drains on the government funding right now with Covid-19 and building something that you don't have to build doesn't seem the right way to go about things.""ù It is understood that contracts already issued for GNSS have now been discontinued. The GNSS system will be replaced with a new project the Government said would ""explore new and alternative ways that could be used to deliver vital satellite navigation services to the United Kingdom""ù. It is expected to have smaller ambitions than Mrs May's original plan. Alok Sharma, the Business Secretary, said the new project would ""draw on the strengths of the UK's already thriving space industry to understand our requirements for a robust and secure satellite navigation system""ù. ",-1.375,Negative
"
EU tries to stop relying on City of London after Brexit
",0,Neutral,"The EU must wean itself off its dependence on the City of London for access to capital markets and toughen up its financial regulation to prevent a race to the bottom after Brexit, the European Commission warned on Thursday.† London is Europe's biggest capital market, but Brexit means that the EU's major source of non-bank capital will be outside the EU's regulatory framework.† Brussels fears that could pose a challenge to its abilities to set rules and regulations in the sector, and is looking to break its addiction to the City by onshoring capital markets and establishing new ones on the continent.† ""This is particularly important in light of Brexit, as Europe's biggest financial centre is leaving the single market,""ù said Valdis Dombrovskis, an executive vice-president of the European Commission. EU efforts to improve access to capital markets date back to at least 2014 but the commission hopes that Brexit, the economic hit of coronavirus and the need to finance the Green transition will give it fresh impetus.† ",0,Neutral
"
JPMorgan shifts £200bn of assets to Frankfurt
",0.625,Positive,"JPMorgan is moving about £200bn (£184bn) of assets from the UK to Germany with only a little over three months until the Brexit transition period ends.† The Wall Street bank, which recently hired former Chancellor Sajid Javid as an adviser,†plans to finish moving assets to its Frankfurt-based subsidiary by the end of the year, Bloomberg reported.† The move will make JPMorgan one of the biggest banks in Germany and could raise concerns that London's position as Europe's top financial centre will be weakened by Brexit.† International banks have been moving assets and making changes to their operations to ensure they can continue to function fully if there is no deal between the UK and the EU on market access once the transition period ends at the turn of the year.† However, the number of job losses in the City as a result of Brexit has so far been lower than previously feared.† JPMorgan already books transactions for some of its European clients through its German subsidiary. But is understood to be increasing the capital in its Frankfurt entity in preparation for the end of the Brexit transition.† It is understood that the bank plans to route more transactions through Frankfurt from next year.† The changes will not have any bearing on jobs, a source close to the bank said. However, about 200 of its 12,000 London staff were told last week to move to European cities including Paris, Frankfurt, Milan and Madrid.† Citi, UBS and Standard Chartered are among the financial institutions that†have expanded their Frankfurt operations ahead of the UK's new trading relationship with the EU.† A spokesman for JPMorgan declined to comment.† ",1.25,Positive
"
Brexit deal standoff: What could happen before the end of the month?
",0,Neutral,"The European Union has imposed a deadline of the end of the month for Boris Johnson to withdraw provisions in the Internal Markets Bill that renege on the Withdrawal Agreement and break international law - or face the consequences.† The British Government is adamant it will do nothing to change the provisions, which disapply parts of the Brexit divorce treaty relating to subsidies and export checks on goods travelling from Britain to Northern Ireland if there is a no deal.† Meanwhile, the UK-EU trade negotiations will continue - but show no signs of finding a way to bridge the divides between the two entrenched sides.† The trade deal must be finished by the end of October,† according to the EU, and by October 15, according to the Prime Minister.† With UK-EU relations at an all-time-low what could happen next? Michael Gove insists the Government will not withdraw the offending legislation,†but pressure from Brussels and Tory backbenchers is increasing.† This Government has form when it comes to about-turns and if†a way can be found for the UK to save face but cave, it could be too tempting for Boris Johnson to pass up.† Mr Johnson might have gone on to clear a crucial Commons hurdle over the Internal Market Bill, but rebels believe many MPs have simply decided to ""hold their fire""ù rather than cancel a rebellion. The easiest way to get out of this mess would be to conclude a free-trade deal with Brussels, but that has its own complications... Boris Johnson agreed that Northern Ireland would continue to follow some EU customs, food safety and animal health and subsidy rules after Brexit. Doing this paved the way for the ratification of the Withdrawal Agreement and prevented the need for a hard border.† The Internal Market Bill gives ministers the power to waive clauses on state aid and the need for export declarations on British goods heading to Northern Ireland if there is†no deal.† Britain claims this is meant to act as a ""safety net""ù to protect the Good Friday Agreement but the EU says it does the opposite and risks the return of a hard border on the island of Ireland.† But if the UK and EU can agree a zero-tariff trade deal in goods by the end of October, the issues the Bill addresses will be no longer†relevant.†† The only problem is that the latest round of negotiations in London ended yet again in stalemate.† ",0,Neutral
"
Brexit: Queues in Kent could be 7,000 trucks long and last days, Gove warns
",0,Neutral,"Ministers have warned of 7,000 truck-long queues in Kent after the Brexit transition period ends if hauliers fail to prepare for changes to customs rules, according to a leaked letter from Michael Gove to trade groups. Up to 70pc of trucks travelling to the European Union might not be ready for new post-Brexit border controls by January, the letter said. Mr Gove†warned that in a ""reasonable worst-case scenario"",†queues of 7,000 port-bound trucks could face two-day delays in Kent. Officials calculate that up to half of lorries crossing from Dover across the short straits - about 20,000 - might not be border-ready. They ""expect sustained disruption to worsen over the first two weeks [of January] as freight demand builds""ù, the letter said. ",0,Neutral
